Customer Name,Logo Name,Contract Start Date,Contract End Date,Industry Sector,Application,Geography,Owner,Current ARR,Recognized ARR,Services Revenue,Status (R/G/Y),Last QBR,Last Leadership Touchpoint,Notes
Saint Gobain,Saint Gobain,01/03/24,28/02/25,Industrial Manufacturing,Computer Vision,APAC,,0,0,0,,,,
National Grid Grain LNG Ltd.,National Grid,15/03/24,14/03/25,Oil & Gas,APM,EU,,0,0,0,R,,,Churned
National Grid Renewable,National Grid,17/09/24,31/03/27,Renewables,APM,NAM,Bhavana,953775,704025,0,Y,,,Chronic data quality issues from National Grid side: believed fix but continuous monitoring
Novo Nordisk,Novo Nordisk,01/01/22,31/12/25,Healthcare,Computer Vision,APAC,Dinesh,30000,30000,0,G,,,Renewal in progress
Ørsted,Ørsted,15/08/23,15/08/26,Renewables,APM,NAM,Bhavana ,873524.03,873524.03,8062.5,G,,,"2 sites in deployment (Southfork and Eleven Mile Storage), 7 sites waiting on Data Center Migration, and  remaining 13 sites are deployed."
Pecos Barstow Toyah ISD,Pecos Barstow Toyah ISD,45303,28/06/28,Education,Computer Vision,NAM,Bhavana,266466,266466,0,Y,,,We have weeklyi customer touchbase.  Internal validation of all use cases complete and waiting for confirmation from customer
PepsiCo,,,10/01/25,Food & Beverage,Computer Vision,NAM,Bhavana,0,0,-3866.482355,Y,,,Detailed status slide attached
Primergy Solar Management LLC,Primergy Solar,01/07/24,30/09/27,Renewables,APM,NAM,Bhavana,312523,312523,0,Y,,,Customer onsite bandwidth issues prevent data backfills which impact customer reporting capabilities. Took a while to get started on new feature requests critical to customer workflow. Happy now that work has started and Sandeep is involved.  
Reliance BP Mobility Limited,Reliance BP,01/01/22,31/12/25,Oil & Gas,Computer Vision,APAC,Dinesh,61333,61333,5986.078674,,,,
Reliance bp Mobility Limited (JIO),Reliance BP,01/01/22,31/12/26,Oil & Gas,Computer Vision,APAC,Dinesh,26660,26660,0,G,,,"Renewed,  Updated list of POs extending the contract are not in Dinh's spreadsheet version.  Dinesh will work with Nayanika/Tameem to get the contract and update. "
"Renew Energy Maintenance, LLC",ReNew,26/10/23,15/11/26,Renewables,APM,APAC,Bhavana ,61620,61620,0,G,,,
Secureworks Inc,Secureworks Inc,44348,30/05/25,Cybersecurity,EPP,APAC,TK,73218.69,73218.69,0,R,,,Working with AVI to finalise the details
"Shell International Exploration and Production, Inc.","Shell International Exploration and Production, Inc.",,31/03/26,Oil & Gas,Shell,NAM,Bhavana ,7700000,4700000,412219.1994,G,,,
St. Theresa Catholic School,St. Theresa Catholic School,15/11/23,04/07/28,Education,Computer Vision,NAM,Bhavana ,38472,38472,0,G,,Feb 5th meeting onsite with Shawn Dennis.  ,Few additional changes / additional use cases to make them sticky
Tokio Marine,Grupo Tom Brasil,01/05/24,30/04/27,Events & Entertainment,Computer Vision,LATAM,Bhavana ,25000,25000,0,G,,,
TRL KROSAKI REFRACTORIES LIMITED,TRL KROSAKI REFRACTORIES LIMITED,23/06/22,01/02/25,Industrial Manufacturing,Computer Vision,APAC,Dinesh,1798.94,1798.94,0,Y,,,"Support, to be renewed, Dinesh working with TRL to complete the renewal"
UBS,UBS,01/09/24,30/08/25,Renewables,APM,NAM,Dinesh,286940,286940,0,G,,,"Heavy financial interest- building in data for financial sources, new for us"
UPL Limited,UPL,01/08/23,31/08/25,Chemicals,Computer Vision,APAC,Dinesh,15671.96,15671.96,0,Y,,,Dinesh working on renewal
Valley Queen Cheese,Valley Queen Cheese,45427,30/07/26,Food & Beverage,Computer Vision,NAM,Bhavana,39725,39725,0,Y,,,"Deployment in progress, Upgrage to VAIA 3.4.0 in progress and should be completed this week.   

02/19:  Upgrade to 3.4.0 complete.  All use cases validated. Update to Green with VQ on 02/20"
VISMA/Postnord,VISMA/Postnord,,31/12/25,Transportation & Logistics,Silverline,APAC,Dinesh,183040,183040,0,G,,,"Yet to be renewed, TK, Dinesh, Prakhar working it"
Vistra,Vistra,44927,31/12/25,Renewables,Computer Vision,NAM,TK,139080,139080,0,R,,,Currently under investigation
Woolworths,Woolworths,,04/03/25,Warehouse,Computer Vision,APAC,Dinesh,0,0,0,Y,,,Detailed status slide attached
Xerox Ltd,Xerox,44743,45838,Technology,Computer Vision,APAC,Dinesh,150000,150000,0,G,,,Support
